Station,year,annual_entry_exit
Holloway Road                      ,2012,7182872
Hornchurch                         ,2012,2001895
Hounslow Central                   ,2012,3782288
Hounslow East                      ,2012,4170686
Hounslow West                      ,2012,3241375
Hyde Park Corner                   ,2012,5785461
Ickenham                           ,2012,1055454
Kennington                         ,2012,4587700
Kensal Green                       ,2012,2540968
Kensington (Olympia)               ,2012,1795637
Kentish Town                       ,2012,7584083
Kenton                             ,2012,1972680
Kew Gardens                        ,2012,3239675
Kilburn                            ,2012,7686365
Kilburn Park                       ,2012,3450656
King's Cross St. Pancras           ,2012,80970688
Kingsbury                          ,2012,3734715
Knightsbridge                      ,2012,21566053
Ladbroke Grove                     ,2012,5299764
Lambeth North                      ,2012,3309893
Lancaster Gate                     ,2012,6698842
Latimer Road                       ,2012,1910797
Leicester Square                   ,2012,38512080
Leyton                             ,2012,12856223
Leytonstone                        ,2012,10102833
Liverpool Street                   ,2012,64234700
London Bridge                      ,2012,67155180
Loughton                           ,2012,3016770
Maida Vale                         ,2012,3150688
Manor House                        ,2012,9234179
Mansion House                      ,2012,5645557
Marble Arch                        ,2012,15685686
Marylebone                         ,2012,12111551
Mile End                           ,2012,14057083
Mill Hill East                     ,2012,1104434
Moor Park                          ,2012,814953
Moorgate                           ,2012,20594422
Morden                             ,2012,7276884
Mornington Crescent                ,2012,4550432
Neasden                            ,2012,2914263
Newbury Park                       ,2012,3929000
North Acton                        ,2012,5199834
North Ealing                       ,2012,898266
North Greenwich                    ,2012,24171152
North Harrow                       ,2012,1540858
North Wembley                      ,2012,1643799
Northfields                        ,2012,3976939
Northolt                           ,2012,4417710
Northwick Park                     ,2012,3790022
Northwood                          ,2012,2182311
Northwood Hills                    ,2012,1409847
Notting Hill Gate                  ,2012,17277512
Oakwood                            ,2012,2413451
Old Street                         ,2012,21880078
Osterley                           ,2012,2189757
Oval                               ,2012,6109161
Oxford Circus                      ,2012,80551504
Paddington                         ,2012,46325618
Park Royal                         ,2012,1575786
Parsons Green                      ,2012,6187009
Perivale                           ,2012,2164790
Piccadilly Circus                  ,2012,42357331
Pimlico                            ,2012,9907380
Pinner                             ,2012,2470413
Plaistow                           ,2012,6288553
Preston Road                       ,2012,2972873
Putney Bridge                      ,2012,5598383
Queen's Park                       ,2012,5409388
Queensbury                         ,2012,3372174
Queensway                          ,2012,8555667
Ravenscourt Park                   ,2012,2754691
Rayners Lane                       ,2012,3951952
Redbridge                          ,2012,2566293
Regent's Park                      ,2012,3779666
Richmond                           ,2012,7557331
Rickmansworth                      ,2012,2166361
Roding Valley                      ,2012,224256
Royal Oak                          ,2012,2220528
Ruislip                            ,2012,1619948
Ruislip Gardens                    ,2012,989402
Ruislip Manor                      ,2012,1691520
Russell Square                     ,2012,13436431
Seven Sisters                      ,2012,13251478
Shepherd's Bush (Cen)              ,2012,21896486
Shepherd's Bush (H&C)              ,2012,3257388
Sloane Square                      ,2012,16510040
Snaresbrook                        ,2012,2540095
South Ealing                       ,2012,3313275
South Harrow                       ,2012,2262264
South Kensington                   ,2012,32495510
South Kenton                       ,2012,970928
South Ruislip                      ,2012,1705535
South Wimbledon                    ,2012,3704405
South Woodford                     ,2012,4329645
Southfields                        ,2012,5576358
Southgate                          ,2012,4875798
Southwark                          ,2012,11977082
St. James's Park                   ,2012,14261759
St. John's Wood                    ,2012,7067985
St. Paul's                         ,2012,15048402
Stamford Brook                     ,2012,2628332
Stanmore                           ,2012,3364355
Stepney Green                      ,2012,4678837
Stockwell                          ,2012,8871894
Stonebridge Park                   ,2012,2482229
Stratford                          ,2012,50962909
Sudbury Hill                       ,2012,2032858
Sudbury Town                       ,2012,2009717
Swiss Cottage                      ,2012,7526301
Temple                             ,2012,7823576
Theydon Bois                       ,2012,746456
Tooting Bec                        ,2012,6859327
Tooting Broadway                   ,2012,13228547
Tottenham Court Road               ,2012,36013489
Tottenham Hale                     ,2012,9799795
Totteridge & Whetstone             ,2012,1918954
Tower Hill                         ,2012,22537607
Tufnell Park                       ,2012,3676520
Turnham Green                      ,2012,6029833
Turnpike Lane                      ,2012,9597394
Upminster                          ,2012,4731061
Upminster Bridge                   ,2012,1098183
Upney                              ,2012,2126671
Upton Park                         ,2012,10303814
Uxbridge                           ,2012,7176636
Vauxhall                           ,2012,22842369
Victoria                           ,2012,82955798
Walthamstow Central                ,2012,15089008
Wanstead                           ,2012,2560452
Warren Street                      ,2012,16513849
Warwick Avenue                     ,2012,4309332
Waterloo                           ,2012,88158546
Watford                            ,2012,1602068
Wembley Central                    ,2012,5175356
Wembley Park                       ,2012,10601914
West Acton                         ,2012,1579949
West Brompton                      ,2012,4537945
